bid_url,awarding_body,posted_date,bid_title,solicitation_number,bid_due_date,bid_due_time,bid_status,submission_method,county,x_coordinates,y_coordinates,naics_codes,naics_numeric_codes,naics_written_codes
https://vendors.planetbids.com/portal/16339/bo/bo-detail/126430,Coachella Valley Water District,02/13/2025,WRP 10 Filter Assessment and Repair Project,2025-10,03/27/2025,02:00pm,Bidding,Electronic,Riverside,33.7219991,-116.0372472,"90600 - Architectural Services, Professional;90612 - Building Sanitation - Architec;90638 - General Construction - Archite;90680 - Sewage Collection, Treatment,;91051 - Masonry, Concrete, and Stucco;91200 - CONSTRUCTION SERVICES, GENERAL;91300 - CONSTRUCTION SERVICES, HEAVY;88500 - WATER AND WASTEWATER TREATING;90922 - Building Construction (non-residential);96896 - Water and Wastewater Treatment",90600;90612;90638;90680;91051;91200;91300;88500;90922;96896,"Architectural Services, Professional;Building Sanitation;General Construction;Sewage Collection, Treatment,;Masonry, Concrete, and Stucco;CONSTRUCTION SERVICES, GENERAL;CONSTRUCTION SERVICES, HEAVY;WATER AND WASTEWATER TREATING;Building Construction (non-residential);Water and Wastewater Treatment"
https://vendors.planetbids.com/portal/15588/bo/bo-detail/126380,San Gabriel Valley Council of Governments,02/12/2025,RHT Technical assistance and Loan Monitoring for Construction to Permanent Financing Loans,25-04,03/17/2025,02:00pm,Bidding,Electronic,Los Angeles,34.3155072,-118.209681,541611 - Administrative Management and General Management Consulting Services;541618 - Other Management Consulting Services;541690 - Other Scientific and Technical Consulting Services;925110 - Administration of Housing Programs,541611;541618;541690;925110,Administrative Management and General Management Consulting Services;Other Management Consulting Services;Other Scientific and Technical Consulting Services;Administration of Housing Programs
https://vendors.planetbids.com/portal/15588/bo/bo-detail/127185,San Gabriel Valley Council of Governments,03/05/2025,24-19a – Crossroads Specific Plan Amendment and Implementation Plan,,03/19/2025,05:00pm,Bidding,Electronic,Los Angeles,34.3155072,-118.209681,541618 - Other Management Consulting Services,541618,Other Management Consulting Services
https://vendors.planetbids.com/portal/46142/bo/bo-detail/126836,City of Elk Grove,02/27/2025,2025 PAVEMENT MAINTENANCE PROJECT – ADA AND CONCRETE REPAIRS (WPR025),WPR025 ADA,03/27/2025,10:00am,Bidding,Electronic,Sacramento,38.4732259,-121.2980707,"237310 - Highway, Street, and Bridge Construction;237990 - Other Heavy and Civil Engineering Construction;238110 - Poured Concrete Foundation and Structure Contractors;238120 - Structural Steel and Precast Concrete Contractors;238910 - Site Preparation Contractors;238990 - All Other Specialty Trade Contractors;324121 - Asphalt Paving Mixture and Block Manufacturing;812930 - Parking Lots and Garages",237310;237990;238110;238120;238910;238990;324121;812930,"Highway, Street, and Bridge Construction;Other Heavy and Civil Engineering Construction;Poured Concrete Foundation and Structure Contractors;Structural Steel and Precast Concrete Contractors;Site Preparation Contractors;All Other Specialty Trade Contractors;Asphalt Paving Mixture and Block Manufacturing;Parking Lots and Garages"
https://vendors.planetbids.com/portal/46142/bo/bo-detail/126844,City of Elk Grove,02/27/2025,2025 PAVEMENT MAINTENANCE PROJECT – SLURRY SEAL AND PAVEMENT RESURFACING (WPR025),WPR025 Treatments,03/27/2025,02:00pm,Bidding,Electronic,Sacramento,38.4732259,-121.2980707,"237310 - Highway, Street, and Bridge Construction;237990 - Other Heavy and Civil Engineering Construction;238110 - Poured Concrete Foundation and Structure Contractors;238120 - Structural Steel and Precast Concrete Contractors;238910 - Site Preparation Contractors;238990 - All Other Specialty Trade Contractors;324121 - Asphalt Paving Mixture and Block Manufacturing;812930 - Parking Lots and Garages",237310;237990;238110;238120;238910;238990;324121;812930,"Highway, Street, and Bridge Construction;Other Heavy and Civil Engineering Construction;Poured Concrete Foundation and Structure Contractors;Structural Steel and Precast Concrete Contractors;Site Preparation Contractors;All Other Specialty Trade Contractors;Asphalt Paving Mixture and Block Manufacturing;Parking Lots and Garages"
https://vendors.planetbids.com/portal/16151/bo/bo-detail/125790,The Metropolitan Water District of Southern California,01/27/2025,ON-CALL POWER PLANNING SERVICES,RFQ-AR-1389,03/11/2025,11:00am,Bidding,Electronic,Los Angeles,34.3155072,-118.209681,"94600 - FINANCIAL SERVICES;96129 - ECONOMIC IMPACT STUDIES;96185 - UTILITY SERVICES, ELECTRIC, GAS, WATER;91800 - CONSULTING SERVICES;91812 - ANALYTICAL STUDIES AND SURVEYS (CONSULTING);92500 - ENGINEERING SERVICES;92534 - ENERGY MANAGEMENT;92550 - HYDROELECTRIC;92578 - POWER GENERATION, TRANSMISSION, DISTRIBUTION - ENG;92595 - UTILITIES (GAS, STEAM, ELECTRIC) - ENGINEERING;90627 - ENERGY MANAGEMENT - ARCHITECTURAL;90628 - ENERGY CONSERVATION; NEW ENERGY SOURCES (SOLAR, ET;90668 - POWER GENERATION, TRANSMISSION, DISTRIBUTION;91016 - ENERGY CONSERVATION SERVICES (INCLUDING AUDITS);91841 - ENERGY CONSERVATION CONSULTING;91842 - ENGINEERING CONSULTING;91849 - FINANCE/ECONOMICS CONSULTING;91897 - UTILITIES: GAS, WATER, ELECTRIC CONSULTING",94600;96129;96185;91800;91812;92500;92534;92550;92578;92595;90627;90628;90668;91016;91841;91842;91849;91897,"FINANCIAL SERVICES;ECONOMIC IMPACT STUDIES;UTILITY SERVICES, ELECTRIC, GAS, WATER;CONSULTING SERVICES;ANALYTICAL STUDIES AND SURVEYS (CONSULTING);ENGINEERING SERVICES;ENERGY MANAGEMENT;HYDROELECTRIC;POWER GENERATION, TRANSMISSION, DISTRIBUTION;UTILITIES (GAS, STEAM, ELECTRIC);ENERGY MANAGEMENT;ENERGY CONSERVATION; NEW ENERGY SOURCES (SOLAR, ET;POWER GENERATION, TRANSMISSION, DISTRIBUTION;ENERGY CONSERVATION SERVICES (INCLUDING AUDITS);ENERGY CONSERVATION CONSULTING;ENGINEERING CONSULTING;FINANCE/ECONOMICS CONSULTING;UTILITIES: GAS, WATER, ELECTRIC CONSULTING"
https://vendors.planetbids.com/portal/16151/bo/bo-detail/127312,The Metropolitan Water District of Southern California,03/07/2025,Fabrication Inspection Services,RFQ-AM-1401,04/07/2025,11:00am,Bidding,Electronic,Los Angeles,34.3155072,-118.209681,"96145 - INSPECTION AND CERTIFICATION SERVICES;92500 - ENGINEERING SERVICES;92555 - INSPECTING, GENERAL;92556 - INSPECTING, STRUCTURAL;96847 - INSPECTION SERVICES, CONSTRUCTION TYPE;15500 - BUILDINGS AND STRUCTURES: FABRICATED AND PREFABRIC;91888 - QUALITY ASSURANCE/CONTROL CONSULTING SERVICES;57068 - STEEL, FABRICATED: BEAMS, GABIONS, GRATINGS, WALKW",96145;92500;92555;92556;96847;15500;91888;57068,"INSPECTION AND CERTIFICATION SERVICES;ENGINEERING SERVICES;INSPECTING, GENERAL;INSPECTING, STRUCTURAL;INSPECTION SERVICES, CONSTRUCTION TYPE;BUILDINGS AND STRUCTURES: FABRICATED AND PREFABRIC;QUALITY ASSURANCE/CONTROL CONSULTING SERVICES;STEEL, FABRICATED: BEAMS, GABIONS, GRATINGS, WALKW"
https://vendors.planetbids.com/portal/32069/bo/bo-detail/126658,Elsinore Valley Municipal Water District,02/20/2025,On-Call Hydraulic Modeling Services,WR-2025-01,03/24/2025,10:00am,Bidding,Electronic,Riverside,33.7219991,-116.0372472,"221310 - Water Supply and Irrigation Systems;541330 - Engineering Services;89000 - Water Supply, Groundwater, Sewage Treatment, And Related Equipment (Not For Air Conditioning, Steam Boiler, Or Laboratory Reagent Water);91063 - Public Utilities: Water, Sewer And Gas Maintenance And Repair;924110 - Administration of Air and Water Resource and Solid Waste Management Programs;92500 - Engineering Services, Professional;96896 - Water And Wastewater Treatment Services",221310;541330;89000;91063;924110;92500;96896,"Water Supply and Irrigation Systems;Engineering Services;Water Supply, Groundwater, Sewage Treatment, And Related Equipment (Not For Air Conditioning, Steam Boiler, Or Laboratory Reagent Water);Public Utilities: Water, Sewer And Gas Maintenance And Repair;Administration of Air and Water Resource and Solid Waste Management Programs;Engineering Services, Professional;Water And Wastewater Treatment Services"
https://vendors.planetbids.com/portal/32069/bo/bo-detail/126855,Elsinore Valley Municipal Water District,02/26/2025,Back Basin Ground Water Treatment Plant Chemical Pipe Upgrades,C2206,03/27/2025,02:00pm,Bidding,Electronic,Riverside,33.7219991,-116.0372472,"221310 - Water Supply and Irrigation Systems;237110 - Water and Sewer Line and Related Structures Construction;541330 - Engineering Services;541360 - Geophysical Surveying and Mapping Services;88500 - Water And Wastewater Treating Chemicals;89000 - Water Supply, Groundwater, Sewage Treatment, And Related Equipment (Not For Air Conditioning, Steam Boiler, Or Laboratory Reagent Water);90624 - Desalinization (Process And Facilities) - Architectural;90666 - Planning, Site (Installation And Project);90694 - Water Supply, Treatment And Distribution - Architectural;90742 - Geotechnical - Soils;92500 - Engineering Services, Professional;96800 - Public Works and Related Services;91843 - Environmental Consulting;96892 - Water Supply Plant Operating And Monitoring System Services (Including Water Resources Development And Water Quality Management Services)",221310;237110;541330;541360;88500;89000;90624;90666;90694;90742;92500;96800;91843;96892,"Water Supply and Irrigation Systems;Water and Sewer Line and Related Structures Construction;Engineering Services;Geophysical Surveying and Mapping Services;Water And Wastewater Treating Chemicals;Water Supply, Groundwater, Sewage Treatment, And Related Equipment (Not For Air Conditioning, Steam Boiler, Or Laboratory Reagent Water);Desalinization (Process And Facilities);Planning, Site (Installation And Project);Water Supply, Treatment And Distribution;Geotechnical;Engineering Services, Professional;Public Works and Related Services;Environmental Consulting;Water Supply Plant Operating And Monitoring System Services (Including Water Resources Development And Water Quality Management Services)"
https://vendors.planetbids.com/portal/32069/bo/bo-detail/126919,Elsinore Valley Municipal Water District,03/03/2025,Rice Canyon Access Road and Electrical Conduit and Rice Canyon Reservoir Rehabilitation – Construction Management and Observation Services,C2038/C2113 - CM,04/02/2025,10:00am,Bidding,Electronic,Riverside,33.7219991,-116.0372472,"90775 - Site Assessment And Site Field Observation;95826 - Construction Management Services;96847 - Inspection Services, Construction Type",90775;95826;96847,"Site Assessment And Site Field Observation;Construction Management Services;Inspection Services, Construction Type"
